# 第 11 轮门楼工地「手术代放」清单 —— 134 块
# 工地：门楼 fort_wall_gate，原点 (599,67,-19)，run construction_run_d2f3cbb572ceb6b7，世界 building-A:新的世界
# 手法：RCON 守护式放置  execute if block <x> <y> <z> air run setblock <x> <y> <z> <block>[<states>]
# 依据：.tmp/cc-r11-y72-beams.txt（55 条候选，y72 梁层，约 15:49Z 执行）+ .tmp/cc-r11-hi-beams.txt（112 条候选，y76–82 塔柱，约 17:28Z 执行）
#       = 167 条候选；其中 34 条她已自放（三段 bot 日志有 BUILD_STATEFUL_PLACE 记录）被守护条件跳过，
#       实际落下 133 根原木 + 单独手术 1 块 604,75,-2 chiseled_stone_bricks = 134 块（与第 11 轮反馈"133 根黑橡木原木 + 1 块錾制石砖"吻合）。
# 可信度：总数 134 是第 11 轮会话里按 RCON 回显数出的（已证实）；逐条回显未留档，"哪 133 条真正落下"用日志反推（合理推断）。
# 用途：门楼终验与 #35 三连对账——这些坐标不算"她亲手放的"。
# 格式：x y z block[states] | 来源清单 | 存档步序号与当前存档状态
#
# ===== A. 实际落下（134 块）=====
602 72 -16 dark_oak_log[axis=z] | 清单=y72 | 存档#1513 verified
602 72 -15 dark_oak_log[axis=z] | 清单=y72 | 存档#1514 verified
602 72 -14 dark_oak_log[axis=x] | 清单=y72 | 存档#1517 verified
602 72 -13 dark_oak_log[axis=x] | 清单=y72 | 存档#1521 verified
602 72 -12 dark_oak_log[axis=y] | 清单=y72 | 存档#1526 verified
602 72 -3 dark_oak_log[axis=y] | 清单=y72 | 存档#679 verified
602 72 -2 dark_oak_log[axis=z] | 清单=y72 | 存档#680 verified
602 72 -1 dark_oak_log[axis=y] | 清单=y72 | 存档#681 verified
602 72 0 dark_oak_log[axis=z] | 清单=y72 | 存档#682 verified
603 72 -15 dark_oak_log[axis=x] | 清单=y72 | 存档#1516 verified
603 72 -14 dark_oak_log[axis=x] | 清单=y72 | 存档#1519 verified
603 72 -13 dark_oak_log[axis=y] | 清单=y72 | 存档#1524 verified
603 72 -12 dark_oak_log[axis=x] | 清单=y72 | 存档#1530 verified
603 72 -3 dark_oak_log[axis=y] | 清单=y72 | 存档#405 verified
603 72 -2 dark_oak_log[axis=y] | 清单=y72 | 存档#409 verified
603 72 -1 dark_oak_log[axis=z] | 清单=y72 | 存档#414 verified
603 72 0 dark_oak_log[axis=z] | 清单=y72 | 存档#418 verified
604 72 -16 dark_oak_log[axis=y] | 清单=y72 | 存档#1518 verified
604 72 -15 dark_oak_log[axis=x] | 清单=y72 | 存档#1520 verified
604 72 -14 dark_oak_log[axis=x] | 清单=y72 | 存档#1523 verified
604 72 -13 dark_oak_log[axis=x] | 清单=y72 | 存档#1528 verified
604 72 -12 dark_oak_log[axis=z] | 清单=y72 | 存档#1533 verified
604 72 -3 dark_oak_log[axis=y] | 清单=y72 | 存档#407 verified
604 72 -2 dark_oak_log[axis=z] | 清单=y72 | 存档#411 verified
604 72 -1 dark_oak_log[axis=z] | 清单=y72 | 存档#415 verified
604 72 0 dark_oak_log[axis=x] | 清单=y72 | 存档#419 verified
605 72 -16 dark_oak_log[axis=x] | 清单=y72 | 存档#1522 verified
605 72 -15 dark_oak_log[axis=x] | 清单=y72 | 存档#1525 verified
605 72 -14 dark_oak_log[axis=z] | 清单=y72 | 存档#1529 verified
605 72 -13 dark_oak_log[axis=z] | 清单=y72 | 存档#1532 verified
605 72 -12 dark_oak_log[axis=z] | 清单=y72 | 存档#1535 verified
605 72 -4 dark_oak_log[axis=y] | 清单=y72 | 存档#404 verified
605 72 -3 dark_oak_log[axis=z] | 清单=y72 | 存档#408 verified
605 72 -2 dark_oak_log[axis=y] | 清单=y72 | 存档#412 verified
605 72 -1 dark_oak_log[axis=x] | 清单=y72 | 存档#416 verified
605 72 0 dark_oak_log[axis=x] | 清单=y72 | 存档#420 verified
606 72 -16 dark_oak_log[axis=z] | 清单=y72 | 存档#1527 verified
606 72 -15 dark_oak_log[axis=z] | 清单=y72 | 存档#1531 verified
606 72 -14 dark_oak_log[axis=x] | 清单=y72 | 存档#1534 verified
606 72 -13 dark_oak_log[axis=y] | 清单=y72 | 存档#1536 verified
606 72 -12 dark_oak_log[axis=z] | 清单=y72 | 存档#1538 verified
606 72 -4 dark_oak_log[axis=y] | 清单=y72 | 存档#406 verified
606 72 -3 dark_oak_log[axis=z] | 清单=y72 | 存档#410 verified
606 72 -2 dark_oak_log[axis=z] | 清单=y72 | 存档#413 verified
606 72 -1 dark_oak_log[axis=z] | 清单=y72 | 存档#417 verified
606 72 0 dark_oak_log[axis=x] | 清单=y72 | 存档#421 verified
601 76 -16 dark_oak_log[axis=y] | 清单=hi | 存档#1460 verified
601 76 -12 dark_oak_log[axis=y] | 清单=hi | 存档#1283 verified
602 76 -17 dark_oak_log[axis=y] | 清单=hi | 存档#1461 verified
606 76 -17 dark_oak_log[axis=y] | 清单=hi | 存档#1327 verified
607 76 -16 dark_oak_log[axis=y] | 清单=hi | 存档#1246 verified
607 76 -12 dark_oak_log[axis=y] | 清单=hi | 存档#876 verified
601 77 -16 dark_oak_log[axis=y] | 清单=hi | 存档#1412 verified
601 77 -12 dark_oak_log[axis=y] | 清单=hi | 存档#1247 verified
602 77 -17 dark_oak_log[axis=y] | 清单=hi | 存档#1413 verified
606 77 -17 dark_oak_log[axis=y] | 清单=hi | 存档#1329 verified
607 77 -16 dark_oak_log[axis=y] | 清单=hi | 存档#1248 verified
607 77 -12 dark_oak_log[axis=y] | 清单=hi | 存档#883 verified
601 78 -16 dark_oak_log[axis=y] | 清单=hi | 存档#1375 verified
601 78 -12 dark_oak_log[axis=y] | 清单=hi | 存档#1213 verified
601 78 0 dark_oak_log[axis=y] | 清单=hi | 存档#902 verified
602 78 -17 dark_oak_log[axis=y] | 清单=hi | 存档#1330 verified
602 78 1 dark_oak_log[axis=y] | 清单=hi | 存档#752 verified
606 78 -17 dark_oak_log[axis=y] | 清单=hi | 存档#1292 verified
